"Addendum AA -- ASC Covered Surgical Procedures for CY 2026 
(Including Surgical Procedures for Which Payment is Packaged)",,,,,,
CPT codes and descriptions only are copyright 2025 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2025 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,July 2026 Payment Indicator,July 2026  Payment Weight  ,July 2026 Payment Rate 
0095T,,Rmvl artific disc addl crvcl,N,N1,,
0098T,,Rev artific disc addl,N,N1,,
0101T,,Esw muscskel sys nos,Y,R2,2.4065,135.54
0102T,,Esw phy anes lat hmrl epcndl,Y,G2,29.2047,1644.87
0164T,,Remove lumb artif disc addl,N,N1,,
0165T,,Revise lumb artif disc addl,N,N1,,
0184T,,Exc rectal tumor endoscopic,Y,G2,50.06,2819.48
0200T,,Perq sacral augmt unilat inj,Y,J8,83.7955,4719.53
0201T,,Perq sacral augmt bilat inj,Y,G2,65.6144,3695.53
0202T,,Post vert arthrplst 1 lumbar,Y,J8,184.9137,10414.71
0213T,,Njx paravert w/us cer/thor,Y,R2,8.6202,485.51
0214T,,Njx paravert w/us cer/thor,N,N1,,
0215T,,Njx paravert w/us cer/thor,N,N1,,
0216T,,Njx paravert w/us lumb/sac,Y,R2,8.6202,485.51
0217T,,Njx paravert w/us lumb/sac,N,N1,,
0218T,,Njx paravert w/us lumb/sac,N,N1,,
0219T,,Plmt post facet implt cerv,Y,J8,190.8554,10749.36
0220T,,Plmt post facet implt thor,Y,J8,168.5659,9493.97
0221T,,Plmt post facet implt lumb,Y,J8,83.1343,4682.29
0222T,,Plmt post facet implt addl,N,N1,,
0232T,,Njx platelet plasma,N,N1,,
0238T,,Trluml perip athrc iliac art,Y,J8,245.761,13841.75
0253T,,Insert aqueous drain device,Y,J8,55.1257,3104.79
0263T,,Im b1 mrw cel ther cmpl,N,G2,42.4336,2389.95
0264T,,Im b1 mrw cel ther xcl hrvst,N,G2,42.4336,2389.95
